Img1,Img2,rmse
ART_2020003_113021.FR,ART_2020003_114021.FR,9.47571
ART_2020003_114021.FR,ART_2020003_115021.FR,9.262154
ART_2020003_115021.FR,ART_2020003_120021.FR,9.092468
ART_2020003_120021.FR,ART_2020003_121021.FR,8.945296
ART_2020003_121021.FR,ART_2020003_122021.FR,8.814936
ART_2020003_122021.FR,ART_2020003_123021.FR,8.699878
ART_2020003_123021.FR,ART_2020003_124021.FR,8.599137
ART_2020003_124021.FR,ART_2020003_125021.FR,8.571479
ART_2020003_125021.FR,ART_2020003_130021.FR,8.543234
ART_2020003_130021.FR,ART_2020003_131021.FR,8.534035
ART_2020003_131021.FR,ART_2020003_132021.FR,8.561346
ART_2020003_132021.FR,ART_2020003_133021.FR,8.618943
ART_2020003_133021.FR,ART_2020003_134021.FR,8.749035
ART_2020003_134021.FR,ART_2020003_135021.FR,8.912615
ART_2020003_135021.FR,ART_2020003_140021.FR,9.097025
ART_2020003_140021.FR,ART_2020003_141021.FR,9.35222
ART_2020003_141021.FR,ART_2020003_142021.FR,9.63525
ART_2020003_142021.FR,ART_2020003_143021.FR,9.964805
ART_2020003_143021.FR,ART_2020003_144021.FR,10.310918
ART_2020003_144021.FR,ART_2020003_145021.FR,10.708506
ART_2020003_145021.FR,ART_2020003_150021.FR,11.142829
ART_2020003_150021.FR,ART_2020003_151021.FR,11.672555
ART_2020003_151021.FR,ART_2020003_152021.FR,12.108222
ART_2020003_152021.FR,ART_2020003_153021.FR,12.387396
ART_2020003_153021.FR,ART_2020003_154021.FR,12.5234785
ART_2020003_154021.FR,ART_2020003_155021.FR,12.587451
ART_2020003_155021.FR,ART_2020003_160021.FR,12.726778
ART_2020003_160021.FR,ART_2020003_161021.FR,12.812713
ART_2020003_161021.FR,ART_2020003_162021.FR,12.937587
ART_2020003_162021.FR,ART_2020003_163021.FR,13.077834
ART_2020003_163021.FR,ART_2020003_164021.FR,13.231059
ART_2020003_164021.FR,ART_2020003_165021.FR,13.363918
ART_2020003_165021.FR,ART_2020003_170021.FR,13.480788
ART_2020003_170021.FR,ART_2020003_171021.FR,13.571042
ART_2020003_171021.FR,ART_2020003_172021.FR,13.681548
ART_2020003_172021.FR,ART_2020003_173021.FR,13.779478
ART_2020003_173021.FR,ART_2020003_174021.FR,13.85962
ART_2020003_174021.FR,ART_2020003_175021.FR,13.990317
ART_2020003_175021.FR,ART_2020003_180021.FR,14.081866
ART_2020003_180021.FR,ART_2020003_181021.FR,14.211958
ART_2020003_181021.FR,ART_2020003_182021.FR,14.276057
ART_2020003_182021.FR,ART_2020003_183021.FR,14.413098
ART_2020003_183021.FR,ART_2020003_184021.FR,14.545744
ART_2020003_184021.FR,ART_2020003_185021.FR,14.6964655
ART_2020003_185021.FR,ART_2020003_190021.FR,14.785586
ART_2020003_190021.FR,ART_2020003_191021.FR,14.813228
ART_2020003_191021.FR,ART_2020003_192021.FR,14.636722
