Img,Min,Max,Mean,Black Rows,Black cols,Next img,RMSE
ART_2020306_192018.FR,2.628019,211.24661,18.128794,0,0,ART_2020306_193018.FR,10.756323
ART_2020306_193018.FR,1.7501286,216.14767,17.720432,0,0,ART_2020306_194018.FR,10.435036
ART_2020306_194018.FR,2.695587,222.16818,17.438873,0,0,ART_2020306_195018.FR,10.136054
ART_2020306_195018.FR,2.33566,245.67204,17.259476,0,0,ART_2020306_200018.FR,9.98147
ART_2020306_200018.FR,2.5041633,252.09897,17.123144,0,0,ART_2020306_201018.FR,9.745482
ART_2020306_201018.FR,2.3395436,308.76584,17.00347,0,0,ART_2020306_202018.FR,9.645343
ART_2020306_202018.FR,1.0825465,291.9394,16.835089,0,0,ART_2020306_203018.FR,9.593263
ART_2020306_203018.FR,1.7956938,320.39133,16.389364,0,0,ART_2020306_204018.FR,8.950356
ART_2020306_204018.FR,2.605808,221.82014,15.648284,0,0,ART_2020306_205018.FR,8.0830765
ART_2020306_205018.FR,1.4018006,259.87073,14.607039,0,0,ART_2020306_210018.FR,7.3248835
ART_2020306_210018.FR,0.0,230.1699,13.450218,0,0,ART_2020306_211018.FR,6.0030365
ART_2020306_211018.FR,0.0,225.35068,12.347493,0,0,ART_2020306_212018.FR,5.378333
ART_2020306_212018.FR,0.0,222.7011,11.173315,0,0,ART_2020306_213018.FR,4.7211704
ART_2020306_213018.FR,0.0,241.85442,10.071351,0,0,ART_2020306_214018.FR,4.6919684
ART_2020306_214018.FR,0.0,228.66673,8.889126,0,21,ART_2020306_215018.FR,5.0179734
ART_2020306_215018.FR,0.0,254.21497,7.529945,0,31,ART_2020306_220018.FR,5.4185076
ART_2020306_220018.FR,0.0,260.93686,5.9713674,0,38,ART_2020306_221018.FR,5.8263173
ART_2020306_221018.FR,0.0,292.86157,4.222243,0,44,ART_2020306_222018.FR,6.755981
ART_2020306_222018.FR,0.0,285.21115,2.1353922,0,49,ART_2020306_223018.FR,6.572859
ART_2020306_223018.FR,0.0,176.44028,0.41085622,0,54,ART_2020306_224018.FR,2.7350852
ART_2020306_224018.FR,0.0,47.156925,0.003649136,0,58,ART_2020306_225018.FR,0.22511709
ART_2020307_083018.FR,0.0,0.0,0.0,70,76,ART_2020307_084018.FR,13.684331
ART_2020307_084018.FR,0.0,233.17609,2.4975972,0,53,ART_2020307_085018.FR,16.614365
ART_2020307_085018.FR,0.0,209.56517,6.8979087,0,49,ART_2020307_090018.FR,17.614155
